placement,table_id,table_caption,dataset,model,hop,partition,beta,method,PE,num_clients,accuracy,mean_acc_pct,std_acc_pct,n_reps,delta_vs_zerohop_pp,zerohop_acc_pct,num_iter,t,alpha,notes,source_summary_path,source_dataset,beta_label,zero_acc_pct,full_acc_pct,best_fedprop_method,best_fedprop_acc_pct,gain_vs_zero_pp,full_gap_pp,gap_closed_pct,gap_closed_clipped_pct,status,zero_n_reps,full_n_reps,fedprop_n_reps
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,FedProp-Diff,yes,10,69.09 +/- 0.79 (n=10),69.08999999999999,0.7852105167122696,10.0,7.9199999999999875,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,Full-graph,no,10,70.27 +/- 0.21 (n=6),70.26666666666667,0.2065591117977291,6.0,9.096666666666664,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,non-IID (beta=1),1,Zero-hop,no,10,61.17 +/- 2.26 (n=10),61.17,2.25785050189088,10.0,0.0,61.17,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,FedProp-Adj,no,10,65.83 +/- 0.55 (n=3),65.83333333333333,0.5507570547286107,3.0,7.0533333333333275,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,FedProp-Adj,yes,10,66.51 +/- 1.26 (n=10),66.51,1.2600264547487363,10.0,7.730000000000004,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,FedProp-Diff,no,10,66.90 +/- 0.17 (n=3),66.9,0.1732050807568879,3.0,8.120000000000005,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,FedProp-Diff,yes,10,66.79 +/- 1.21 (n=10),66.79,1.2068784344562455,10.0,8.010000000000005,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,Full-graph,no,10,69.73 +/- 0.47 (n=6),69.73333333333332,0.4718756898449708,6.0,10.953333333333319,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Citeseer,GCN,2,IID (beta=10000),10000,Zero-hop,no,10,58.78 +/- 2.60 (n=10),58.78,2.6046112953759515,10.0,0.0,58.78,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,FedProp-Adj,no,10,76.80 +/- 1.61 (n=15),76.8,1.606682473741646,15.0,10.831999999999994,65.968,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
