result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
primary_10_client,Citeseer,GCN,1,FedProp-Diff,no,1,10,50,0.1,0.5,8,66.125,0.9837973078114944,1,experiments/results/current/summary_current_live_preferred.csv,66.12 +/- 0.98 (n=8)
primary_10_client,Citeseer,GCN,1,FedProp-Diff,no,10,10,50,0.1,0.5,10,62.85000000000001,1.4292577716345578,1,experiments/results/current/summary_current_live_preferred.csv,62.85 +/- 1.43 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Diff,no,10000,10,50,0.1,0.5,10,62.62,1.5353609781850448,1,experiments/results/current/summary_current_live_preferred.csv,62.62 +/- 1.54 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Diff,yes,1,10,80,1.0,0.5,10,67.46000000000001,0.6380525927469551,1,experiments/results/current/summary_current_live_preferred.csv,67.46 +/- 0.64 (n=10)
primary_10_client,Citeseer,GCN,1,FedProp-Diff,yes,10000,10,80,1.0,0.5,10,65.24,1.0616548926610347,1,experiments/results/current/summary_current_live_preferred.csv,65.24 +/- 1.06 (n=10)
primary_10_client,Citeseer,GCN,1,Full-graph,no,1,10,50,0.1,0.5,11,69.85454545454544,0.7104416040233491,2,experiments/results/current/summary_current_live_preferred.csv,69.85 +/- 0.71 (n=11)
primary_10_client,Citeseer,GCN,1,Full-graph,no,10,10,50,0.1,0.5,15,69.77333333333333,0.7878240074195905,3,experiments/results/current/summary_current_live_preferred.csv,69.77 +/- 0.79 (n=15)
primary_10_client,Citeseer,GCN,1,Full-graph,no,10000,10,50,0.1,0.5,11,69.66363636363636,0.4105428778403723,2,experiments/results/current/summary_current_live_preferred.csv,69.66 +/- 0.41 (n=11)
primary_10_client,Citeseer,GCN,1,Zero-hop,no,1,10,50,0.1,0.5,3,61.53333333333333,1.8502252115170568,1,experiments/results/current/summary_current_live_preferred.csv,61.53 +/- 1.85 (n=3)
primary_10_client,Citeseer,GCN,1,Zero-hop,no,10,10,50,0.1,0.5,10,58.11999999999999,1.9263090786960064,1,experiments/results/current/summary_current_live_preferred.csv,58.12 +/- 1.93 (n=10)
