result_family,dataset,model,hop,PE,beta,num_clients,num_iter,t,alpha,FedProp-Adj,FedProp-Diff,Full-graph,Zero-hop
primary_10_client,Pubmed,GCN,1,no,1,10,50,0.1,0.5,75.39 +/- 3.02 (n=30),73.92 +/- 3.52 (n=18),75.01 +/- 2.81 (n=20),
primary_10_client,Pubmed,GCN,1,no,10,10,50,0.1,0.5,77.85 +/- 1.38 (n=30),75.75 +/- 1.46 (n=10),77.82 +/- 1.93 (n=20),73.51 +/- 1.63 (n=10)
primary_10_client,Pubmed,GCN,1,no,10000,10,50,0.1,0.5,77.42 +/- 1.30 (n=20),75.35 +/- 1.81 (n=10),77.94 +/- 1.17 (n=20),69.37 +/- 3.37 (n=19)
primary_10_client,Pubmed,GCN,1,yes,10,10,80,1.0,0.5,79.23 +/- 0.74 (n=10),79.64 +/- 0.70 (n=10),,
primary_10_client,Pubmed,GCN,1,yes,10000,10,80,1.0,0.5,78.80 +/- 0.67 (n=10),79.11 +/- 0.53 (n=10),,
primary_10_client,Pubmed,GCN,2,no,10,10,80,1.0,0.5,76.93 +/- 0.40 (n=3),75.97 +/- 0.47 (n=3),77.98 +/- 0.92 (n=10),74.47 +/- 0.75 (n=10)
primary_10_client,Pubmed,GCN,2,no,10000,10,80,1.0,0.5,80.20 +/- 0.53 (n=3),79.80 +/- 0.87 (n=3),77.62 +/- 1.45 (n=10),73.76 +/- 1.15 (n=10)
primary_10_client,Pubmed,GCN,2,yes,10,10,80,1.0,0.5,79.38 +/- 1.70 (n=10),80.19 +/- 1.55 (n=10),,
primary_10_client,Pubmed,GCN,2,yes,10000,10,80,1.0,0.5,79.89 +/- 0.85 (n=10),80.19 +/- 0.49 (n=10),,
primary_10_client,Roman-empire,GCN,1,no,10,10,50,0.1,0.5,53.22 +/- 0.44 (n=10),53.92 +/- 0.35 (n=9),34.48 +/- 0.33 (n=10),54.81 +/- 0.52 (n=10)
primary_10_client,Roman-empire,GCN,1,no,10000,10,50,0.1,0.5,54.25 +/- 0.34 (n=10),54.93 +/- 0.37 (n=10),36.10 +/- 0.60 (n=9),55.71 +/- 0.33 (n=10)
primary_10_client,Roman-empire,GCN,2,no,10,10,50,0.1,0.5,52.28 +/- 0.18 (n=10),53.87 +/- 0.30 (n=10),24.71 +/- 0.37 (n=10),54.82 +/- 0.31 (n=10)
primary_10_client,Roman-empire,GCN,2,no,10000,10,50,0.1,0.5,53.75 +/- 0.25 (n=9),55.29 +/- 0.35 (n=9),25.20 +/- 0.42 (n=10),55.27 +/- 0.17 (n=10)
primary_10_client,Texas,GCN,1,no,10,10,50,0.1,0.5,74.46 +/- 2.05 (n=20),74.86 +/- 1.27 (n=20),62.16 +/- 3.51 (n=20),72.43 +/- 1.11 (n=20)
primary_10_client,Texas,GCN,1,no,10000,10,50,0.1,0.5,72.97 +/- 5.02 (n=19),79.46 +/- 2.22 (n=20),64.30 +/- 3.20 (n=19),75.83 +/- 0.64 (n=18)
primary_10_client,Texas,GCN,2,no,10,10,50,0.1,0.5,73.65 +/- 3.49 (n=20),72.97 +/- 0.00 (n=19),62.03 +/- 1.85 (n=20),72.30 +/- 1.20 (n=20)
primary_10_client,Texas,GCN,2,no,10000,10,50,0.1,0.5,75.68 +/- 5.04 (n=20),77.43 +/- 2.01 (n=20),63.78 +/- 4.06 (n=20),75.81 +/- 0.60 (n=20)
primary_10_client,Wisconsin,GCN,1,no,10,10,50,0.1,0.5,74.71 +/- 2.00 (n=20),77.84 +/- 1.44 (n=20),44.61 +/- 2.28 (n=20),75.88 +/- 1.29 (n=20)
primary_10_client,Wisconsin,GCN,1,no,10000,10,50,0.1,0.5,70.69 +/- 1.19 (n=20),72.75 +/- 1.41 (n=20),48.73 +/- 2.32 (n=20),70.00 +/- 1.12 (n=20)
primary_10_client,Wisconsin,GCN,2,no,10,10,50,0.1,0.5,75.78 +/- 1.94 (n=20),77.45 +/- 1.49 (n=20),49.12 +/- 1.53 (n=19),75.85 +/- 1.61 (n=19)
primary_10_client,Wisconsin,GCN,2,no,10000,10,50,0.1,0.5,73.04 +/- 1.79 (n=20),75.69 +/- 0.99 (n=20),51.39 +/- 2.02 (n=19),69.80 +/- 1.33 (n=20)
primary_10_client,ogbn-arxiv,GCN,1,no,1,10,50,0.1,0.5,71.64 +/- 0.83 (n=5),72.14 +/- 0.52 (n=5),71.14 +/- 0.56 (n=5),64.77 +/- 0.15 (n=5)
primary_10_client,ogbn-arxiv,GCN,1,no,10000,10,50,0.1,0.5,67.73 +/- 1.52 (n=5),67.52 +/- 1.80 (n=5),70.35 +/- 0.81 (n=5),59.38 +/- 0.31 (n=5)
primary_10_client,ogbn-arxiv,GCN,1,yes,1,10,50,0.1,0.5,70.78 +/- 0.35 (n=5),69.81 +/- 1.48 (n=5),,
primary_10_client,ogbn-arxiv,GCN,1,yes,10000,10,50,0.1,0.5,67.31 +/- 0.77 (n=5),66.88 +/- 1.52 (n=5),,
primary_10_client,ogbn-arxiv,GCN,2,no,1,10,80,1.0,0.5,69.90 +/- 0.67 (n=30),69.57 +/- 0.75 (n=10),65.00 +/- 0.85 (n=11),64.00 +/- 0.15 (n=10)
primary_10_client,ogbn-arxiv,GCN,2,no,10000,10,80,1.0,0.5,67.81 +/- 0.60 (n=30),67.33 +/- 0.65 (n=10),69.41 +/- 0.23 (n=11),58.79 +/- 0.18 (n=10)
primary_10_client,ogbn-arxiv,GCN,2,yes,1,10,80,1.0,0.5,62.96 +/- 1.54 (n=10),61.85 +/- 2.91 (n=10),,
primary_10_client,ogbn-arxiv,GCN,2,yes,10000,10,80,1.0,0.5,62.58 +/- 1.30 (n=10),62.95 +/- 1.56 (n=10),,
